fov,dxM,dyM,dxPx,dyPx
U00--V00--X00--Y00,0.00006655,-0.0001089,11,-18
U00--V00--X00--Y01,0.00006655,0.0001089,11,18
U01--V06--X00--Y01,-0.00007865,-0.00007865,-13,-13
U05--V07--X01--Y01,0.00003025,-0.0001089,5,-18
U05--V07--X00--Y01,0.0000363,0.00009075,6,15
U05--V07--X01--Y00,-0.00007865,0.0000484,-13,8
U01--V06--X01--Y01,0.0000484,-0.00001815,8,-3
U07--V00--X00--Y01,-0.00004235,0.0001089,-7,18
U07--V00--X00--Y00,0.00001815,0.0001089,3,18
U05--V01--X01--Y01,-0.00006655,0.0001089,-11,18
U05--V01--X01--Y00,0.0000605,-0.00006655,10,-11
U11--V04--X01--Y01,0.0001028,0.00006655,17,11
U11--V04--X00--Y01,0.0001028,-0.0000242,17,-4
U11--V01--X00--Y01,0.00004235,0.00005445,7,9
U11--V01--X01--Y00,-0.0000605,-0.00005445,-10,-9
U07--V01--X00--Y01,-0.0000121,0.00001815,-2,3
U07--V01--X01--Y00,-0.0001028,-0.00003025,-17,-5
U04--V07--X00--Y01,0.0000726,0.0000726,12,12
U04--V07--X01--Y00,0.0000847,-0.00009075,14,-15
U10--V07--X01--Y01,0.0001089,0.0000484,18,8
U10--V07--X00--Y00,0.00004235,-0.00003025,7,-5
U08--V04--X01--Y01,0.0001089,0.00007865,18,13
U08--V04--X01--Y00,-0.0001089,-0.0000847,-18,-14
U07--V04--X01--Y01,-0.0000484,0.00004235,-8,7
U07--V04--X01--Y00,0.00003025,-0.0000847,5,-14
U04--V02--X01--Y01,0.0001089,-0.00005445,18,-9
U04--V02--X00--Y01,-0.00004235,0.0000484,-7,8
U02--V03--X01--Y01,-0.0000484,0.0001089,-8,18
U02--V03--X00--Y00,0.00005445,-0.0000847,9,-14
U01--V03--X00--Y01,0.0000121,-0.0001089,2,-18
U01--V03--X01--Y00,-0.0000847,0.0001089,-14,18
U06--V01--X00--Y01,-0.00003025,0.00001815,-5,3
