well,green,blue,yellow,red
U00--V00--,728,1120,775,626
U00--V01--,768,1120,790,652
U00--V02--,699,965,780,633
U00--V03--,675,1120,815,641
U00--V04--,1000,1120,798,647
U00--V05--,714,1120,825,689
U00--V06--,814,1120,831,657
U00--V07--,1000,1120,886,689
U03--V00--,881,1020,814,688
U03--V01--,960,962,874,719
U03--V02--,784,984,859,704
U03--V03--,1000,934,814,671
U03--V04--,756,957,848,683
U03--V05--,1000,995,861,711
U03--V06--,889,971,847,676
U03--V07--,827,996,849,679
U06--V00--,782,1000,839,695
U06--V01--,740,983,843,700
U06--V02--,782,967,853,700
U06--V03--,929,963,844,670
U06--V04--,706,991,884,720
U06--V05--,808,985,870,699
U06--V06--,949,981,839,670
U06--V07--,801,1020,833,678
U09--V00--,797,969,811,668
U09--V01--,767,1009,846,700
U09--V02--,974,990,860,723
U09--V03--,763,981,865,703
U09--V04--,872,1004,839,719
U09--V05--,1000,994,846,690
U09--V06--,970,987,828,673
U09--V07--,901,911,817,663
