well,green,blue,yellow,red
U00--V00--,911,991,826,663
U00--V01--,921,889,808,668
U00--V02--,861,918,817,666
U00--V03--,788,939,806,661
U00--V04--,775,1013,802,637
U00--V05--,732,980,830,648
U00--V06--,745,975,779,641
U00--V07--,776,903,798,630
U03--V00--,704,922,832,668
U03--V01--,793,922,900,736
U03--V02--,684,913,838,679
U03--V03--,901,891,847,696
U03--V04--,768,921,819,661
U03--V05--,768,912,805,658
U03--V06--,689,892,800,663
U03--V07--,786,956,869,709
U06--V00--,920,984,849,699
U06--V01--,801,922,868,722
U06--V02--,797,935,821,684
U06--V03--,866,885,860,712
U06--V04--,739,904,875,725
U06--V05--,795,932,908,743
U06--V06--,764,939,909,743
U06--V07--,845,958,889,739
U09--V00--,813,898,847,676
U09--V01--,815,919,909,769
U09--V02--,886,935,906,738
U09--V03--,782,932,898,745
U09--V04--,764,900,909,776
U09--V05--,779,898,909,771
U09--V06--,853,925,907,740
U09--V07--,859,950,909,755
